chr,pos,ensg,enst,ense,genID,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,n_exones_en_pos
chr8,127521584,ENSG00000115977,ENST00000409085,ENSE00001948703,AAK1,93.171,205,14,0,9,213,13636,13840,6.71e-80,302.0,2
chr14_GL000225v1_random,109472,ENSG00000115977,ENST00000409085,ENSE00001948703,AAK1,93.365,211,13,1,198,408,13781,13572,4.85e-83,311.0,2
chr2,128082398,ENSG00000008311,ENST00000679511,ENSE00003912625,AASS,92.857,196,10,4,783,974,413,608,4.939999999999999e-74,281.0,10
chr2,128082398,ENSG00000131269,ENST00000373394;ENST00000253577,ENSE00003824915,ABCB7,93.75,192,10,2,783,973,1101,1291,1.06e-75,287.0,2
chr21,25880076,ENSG00000131269,ENST00000666534,ENSE00003861618,ABCB7,91.364,220,18,1,290,508,1401,1182,6.94e-80,300.0,2
chr5,43541207,ENSG00000131269,ENST00000373394;ENST00000253577,ENSE00003824915,ABCB7,90.323,217,17,4,1,213,1185,1401,4.56e-74,281.0,2
chr3,11599600,ENSG00000131269,ENST00000666534,ENSE00003861618,ABCB7,91.284,218,18,1,1,217,1184,1401,1.02e-78,296.0,2
chr20,5744584,ENSG00000124574,ENST00000437104,ENSE00002036240,ABCC10,91.209,182,15,1,1,181,182,1,5.52e-63,246.0,2
chr12,54209197,ENSG00000124574,ENST00000372515,ENSE00002061523,ABCC10,90.722,194,10,1,2,187,5091,5284,4.27e-65,252.0,2
chrX,48671413,ENSG00000124574,ENST00000372515,ENSE00002061523,ABCC10,90.256,195,13,6,552,744,4985,5175,1.06e-64,250.0,2
chr14_GL000225v1_random,109472,ENSG00000069431,ENST00000261201,ENSE00003911324,ABCC9,91.324,219,15,3,198,416,2120,1906,1.36e-78,296.0,2
chr3,102824528,ENSG00000069431,ENST00000261200,ENSE00000822276,ABCC9,97.209,215,6,0,119,333,2940,2726,4.29e-99,364.0,2
chr17,34486612,ENSG00000069431,ENST00000261200,ENSE00000822276,ABCC9,98.942,189,2,0,17,205,2703,2515,3.27e-91,339.0,2
chr4,119796374,ENSG00000069431,ENST00000261201,ENSE00003911324,ABCC9,99.479,192,1,0,460,651,2483,2292,8.819999999999999e-95,350.0,2
chr8,33878915,ENSG00000069431,ENST00000261200,ENSE00000822276,ABCC9,98.964,193,2,0,651,843,2940,2748,2.51e-93,346.0,2
chr9,65585250,ENSG00000069431,ENST00000261200,ENSE00000822276,ABCC9,98.077,208,4,0,11,218,2277,2484,1.01e-98,363.0,2
chr5,33633229,ENSG00000069431,ENST00000261200,ENSE00000822276,ABCC9,98.02,202,4,0,5031,5232,2522,2321,2.02e-94,351.0,2
